طابع زمني,1. الجنس,2. الفئة العمرية,3. مكان الإقامة الحالي,4. أعلى مستوى تعليمي,5. هل تعمل أو تدرس في مجال طبي أو صحي ؟,6. هل سبق لك استخدام الأعشاب الطبية لعلاج أي حالة صحية ؟,"7. عندما تمرض, ما الخيار الذي تلجأ إليه أولاً ؟ (يمكن الاختيار اكثر من اجابة)",8. هل تقرأ أو تسأل أو تبحث عن الأعشاب التي تريد استخدامها قبل الاستعمال ؟,9. ما العامل الأهم عند اختيارك للأعشاب ؟,10. هل شعرت أن الأعشاب كانت فعالة في علاج حالتك ؟,11. أي من الأعشاب السورية الشائعة استخدمتها أو سمعت عنها؟ (يمكن الاجابة على اكثر من اجابة),12. هل تعلم أن الأعشاب قد تتداخل مع بعض الأدوية وتسبب مشاكل صحية ؟,"13. برأيك, هل ""المنتج الطبيعي = آمن تماماً ولا يسبب أي أضرار""",14. هل اشتريت أدوية عشبية أو خلطات عشبية عبر الإنترنت ؟,15. هل تعتقد أن هناك أعشاب تباع بأسماء أخرى مختلفة عن اسمها الحقيقي (مثلاً الأقحوان بدلاً من البابونج)؟,16. هل تعتقد أن الأعشاب المطحونة قد تكون مغشوشة بإضافة مواد أخرى ؟,17. هل سبق لك استخدام أعشاب طبية بغرض التنحيف أو إنقاص الوزن ؟,18. أي من هذه الأعشاب استخدمتها للتنحيف؟(يمكن الإجابة على أكثر من خيار),19. هل تعتقد أن هناك حالات غش بمواد دوائية (مثل الملينات أو المدرات الكيميائية) في وصفات الأعشاب للتنحيف دون تصريح عنها ؟,20. هل تعتقد أن هناك حالات غش في الأعشاب وخلطات العسل المقوية باستخدام مركبات دوائية مقوية دون التصريح عنها ؟,21. هل تعتقد أن الإفراط في استخدام الأعشاب الطبية قد يسبب ضرراً للكبد أو الكلى ؟,22. كم مرة تستخدم الأعشاب الطبية *دون استشارة طبيب أو صيدلاني*,23. هل سبق أن شعرت بأي أعراض جانبية بعد استخدام أعشاب طبية ؟ (يمكن اختيار اكثر من اجابة),24. هل تعتقد أن الأعشاب آمنة بأي جرعة وليس لها أي آثار جانبية ؟,25. هل تعتقد أن هناك توابل وبهارات شائعة لها أضرار عند استخدامها بجرعات عالية؟,26. هل تعلم أو سمعت بوجود أعشاب طبية منشطة أو مهدئة للجهاز العصبي قد تسبب الإدمان أو الاعتماد عليها عند الاستخدام المطول ؟,"27. برأيك , هل يمكن لبعض الأعشاب المهدئة أو المنشطة أن تسبب اعتماداً نفسياً أو جسدياً مشابه للأدوية الكيميائية ؟","28. برأيك , ماهو السبب الرئيسي لانتشار الوصفات العشبية الخاطئة أو الخطرة على وسائل التواصل الاجتماعي ؟ (يمكن اختيار اكثر من اجابة)","29. إذا تم تطوير *تطبيق ذكي مجاني باللغة العربية* يعمل كمساعد منزلي يقدم معلومات علمية موثوقة عن الأعشاب السورية , هل ستستخدمه؟",30. هل لديك أي اقتراحات أو ملاحظات إضافية حول  استخدام الأعشاب الطبية في سوريا ؟
2026-04-18 11:14:59.160,أنثى,36-50 سنة,اللاذقية,ثانوية,لا,"نعم , احيانا","الأعشاب الطبية, الأدوية من الصيدلية",دائماً,الجودة,إلى حد ما,"البابونج, النعناع, ",لا,أوافق,لا,لا أعرف,ربما,لا,الشاي الأخضر,ربما,ربما,لا أعرف,غالباً,لم أشعر بأي أعراض,لا أعرف,لا أعرف,"لا , لم أسمع بهذا من قبل",لا أعرف,كل ما سبق,ربما,لا
2026-04-18 11:20:31.742,أنثى,أكثر من 50 سنة,اللاذقية,دراسات عليا,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,الجودة,إلى حد ما,الزعتر السوري,لا,أوافق بشدة,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,لا أعرف,نعم,لا أعرف,دائماً,لم أشعر بأي أعراض,لا,نعم,"لا , لم أسمع بهذا من قبل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,لا
2026-04-18 11:27:56.965,أنثى,أكثر من 50 سنة,اللاذقية,أقل من الثانوية,لا,"نعم , احيانا",زيارة الطبيب,أبداً,الشهرة/التجربة,إلى حد ما,البابونج,لا,أوافق بشدة,لا,لا أعرف,لا,نعم (انتقل إلى السؤال 18),الشاي الأخضر,لا,لا أعرف,لا أعرف,غالباً,لم أشعر بأي أعراض,نعم,لا,"لا , لم أسمع بهذا من قبل",لا أعرف,كل ما سبق,نعم بالتأكيد,
2026-04-18 12:49:06.776,أنثى,18-25 سنة,اللاذقية,دراسات عليا,نعم,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,الجودة,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع",نعم,محايد,لا,نعم,نعم,لا,,نعم,نعم,ربما,أحياناً,"إسهال, غثيان أو قيء",لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,انتشار الموروث الشعبي الخاطئ,ربما,
2026-04-18 13:20:25.833,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",الأدوية من الصيدلية,دائماً,الثقة بالمصدر,إلى حد ما,"إكليل الجبل, البابونج, النعناع",نعم,لا أوافق بشدة,لا,نعم,نعم بشدة,لا,,نعم بشدة,نعم بشدة,نعم بالتأكيد,أبداً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد","قلة الرقابة على المحتوى, انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة, كل ما سبق",نعم بالتأكيد,No
2026-04-18 13:44:04.785,أنثى,26-35 سنة,العراق ,بكالوريوس,نعم,"لا , ابدا",الأدوية من الصيدلية,دائماً,الثقة بالمصدر,لا أعلم,البابونج,نعم,لا أوافق,لا,نعم,نعم,لا,لا استخدم ,ربما,نعم,نعم بالتأكيد,أبداً,لم استخدم ,لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",كل ما سبق,نعم بالتأكيد,لا
2026-04-18 13:51:51.741,أنثى,26-35 سنة,حلب,بكالوريوس,لا,"نعم , احيانا",الأعشاب الطبية,دائماً,الشهرة/التجربة,إلى حد ما,النعناع,نعم,أوافق,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,ربما,ربما,نعم بالتأكيد,أحياناً,لم أشعر بأي أعراض,ربما,نعم,سمعت بالمصطلح بشكل عام لكن لا أعرف أمثلة,ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,لا
2026-04-18 13:59:37.400,أنثى,26-35 سنة,ألمانيا,دراسات عليا,لا,"نعم , احيانا",الأعشاب الطبية,دائماً,الثقة بالمصدر,نعم جداً,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع",نعم,لا أوافق,لا,نعم,نعم بشدة,لا,,لا أعرف,لا أعرف,نعم بالتأكيد,دائماً,لم أشعر بأي أعراض,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل","نعم , بالتأكيد",كل ما سبق,نعم بالتأكيد,
2026-04-18 14:19:18.049,أنثى,26-35 سنة,العراق ,دراسات عليا,لا,"نعم , احيانا",الأعشاب الطبية,أحياناً,الجودة,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, أوراق الزيتون",لا,أوافق,لا,لا,ربما,لا,الشاي الأخضر,لا,لا أعرف,لا (لأنها طبيعية),غالباً,لم أشعر بأي أعراض,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعتقد ذلك,عدم وعي المستخدمين بالمخاطر,لا,أعشاب حلوة صحية ومفيدة للحل السريع 
2026-04-18 14:38:54.570,ذكر,أكثر من 50 سنة,دمشق,بكالوريوس,لا,نادرا,زيارة الطبيب,أحياناً,نصيحة شخص آخر,لا أعلم,الزعتر السوري,نعم,أوافق,لا,لا أعرف,نعم بشدة,لا,الشاي الأخضر,نعم,نعم,نعم بالتأكيد,أحياناً,لم أشعر بأي أعراض,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,قلة الرقابة على المحتوى,نعم بالتأكيد,
2026-04-18 14:46:42.273,ذكر,26-35 سنة,اللاذقية,دراسات عليا,نعم,"لا , ابدا",زيارة الطبيب,دائماً,الجودة,إلى حد ما,إكليل الجبل,نعم,أوافق بشدة,لا,نعم,نعم بشدة,نعم (انتقل إلى السؤال 18),الشاي الأخضر,نعم,نعم,لا (لأنها طبيعية),أحياناً,لم أشعر بأي أعراض,نعم,ربما,"نعم , أعرف ذلك جيداً",لا أعرف,قلة الرقابة على المحتوى,نعم بالتأكيد,
2026-04-18 15:16:11.646,أنثى,26-35 سنة,العراق,دراسات عليا,نعم,"نعم , احيانا","الأعشاب الطبية, الأدوية من الصيدلية, زيارة الطبيب",أحياناً,الشهرة/التجربة,إلى حد ما,"الزعتر السوري, إكليل الجبل, النعناع",نعم,أوافق,لا,لا أعرف,نعم,لا,,نعم,نعم,ربما,أحياناً,دوخة,لا,ربما,"لا , لم أسمع بهذا من قبل",لا أعرف,"قلة الرقابة على المحتوى, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,
2026-04-18 15:16:40.946,أنثى,18-25 سنة,دورين,بكالوريوس,نعم,"نعم , احيانا",الأعشاب الطبية,أحياناً,الثقة بالمصدر,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع",لا,أوافق,لا,نعم,ربما,لا,,ربما,نعم,ربما,غالباً,لم أشعر بأي أعراض,ربما,ربما,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,"قلة الرقابة على المحتوى, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,
2026-04-18 15:20:09.306,ذكر,36-50 سنة,خارج سوريا (يرجى تحديد البلد),ثانوية,لا,"نعم , احيانا",زيارة الطبيب,دائماً,الثقة بالمصدر,إلى حد ما,"إكليل الجبل, اليانسون, البابونج, النعناع",لا,محايد,نعم,لا أعرف,نعم بشدة,لا,الشاي الأخضر,ربما,ربما,لا أعرف,نادراً,"إسهال, غثيان أو قيء, حساسية",لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعتقد ذلك,"قلة الرقابة على المحتوى, انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة, كل ما سبق",نعم بالتأكيد,
2026-04-18 15:34:59.342,ذكر,أكثر من 50 سنة,خارج سوريا (يرجى تحديد البلد),بكالوريوس,لا,"نعم , احيانا",الأعشاب الطبية,دائماً,الجودة,إلى حد ما,الزعتر السوري,نعم,محايد,لا,نعم,نعم,لا,الشاي الأخضر,ربما,ربما,لا (لأنها طبيعية),غالباً,حساسية,ربما,ربما,"لا , لم أسمع بهذا من قبل",لا أعتقد ذلك,رغبة الناس في حلول سريعة ورخيصة,نعم بالتأكيد,ان تكون مراقبة من قبل وزارة الصحة على عملية تصنيع وتعبه 
2026-04-18 16:40:54.609,أنثى,أكثر من 50 سنة,خارج سوريا (يرجى تحديد البلد),ثانوية,لا,"لا , ابدا",زيارة الطبيب,أحياناً,نصيحة شخص آخر,لم تكن فعالة,البابونج,نعم,لا أوافق بشدة,لا,نعم,نعم,نعم (انتقل إلى السؤال 18),الشاي الأخضر,ربما,ربما,نعم بالتأكيد,أحياناً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,لا
2026-04-18 16:50:36.523,أنثى,18-25 سنة,اللاذقية,ثانوية,لا,"نعم , احيانا",الأعشاب الطبية,أحياناً,الشهرة/التجربة,إلى حد ما,"إكليل الجبل, اليانسون, البابونج, النعناع, البردقوش",لا,أوافق,نعم,لا,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,ربما,ربما,لا (لأنها طبيعية),دائماً,لم أشعر بأي أعراض,نعم,ربما,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,لا
2026-04-18 16:52:48.372,أنثى,26-35 سنة,اللاذقية,دراسات عليا,نعم,"نعم , احيانا",الأدوية من الصيدلية,دائماً,الجودة,إلى حد ما,النعناع,نعم,محايد,لا,لا أعرف,ربما,لا,,لا أعرف,لا أعرف,ربما,أحياناً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",كل ما سبق,نعم بالتأكيد,
2026-04-18 16:54:02.032,أنثى,أكثر من 50 سنة,اللاذقية,دراسات عليا,لا,"نعم , احيانا",زيارة الطبيب,دائماً,الجودة,لم تكن فعالة,"اليانسون, البابونج",نعم,أوافق,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),"العشرق, الشاي الأخضر",نعم بشدة,نعم,نعم بالتأكيد,أحياناً,إسهال,لا,نعم,"لا , لم أسمع بهذا من قبل",لا أعتقد ذلك,رغبة الناس في حلول سريعة ورخيصة,نعم بالتأكيد,لا
2026-04-18 16:58:32.369,أنثى,36-50 سنة,اللاذقية,دراسات عليا,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,الثقة بالمصدر,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع",لا,أوافق,نعم,نعم,نعم,لا,,ربما,ربما,نعم بالتأكيد,أحياناً,إسهال,ربما,نعم,سمعت بالمصطلح بشكل عام لكن لا أعرف أمثلة,ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,
2026-04-18 19:49:24.296,ذكر,أكثر من 50 سنة,العراق,بكالوريوس,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,نصيحة شخص آخر,إلى حد ما,البابونج,لا,أوافق بشدة,لا,نعم,نعم بشدة,لا,انا نحيف ولا احتاج أعشاب للنحافة,نعم,نعم بشدة,ربما,غالباً,لم أشعر بأي أعراض,نعم,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعتقد ذلك,عدم وعي المستخدمين بالمخاطر,ربما,كلا 
2026-04-18 19:50:48.657,ذكر,أكثر من 50 سنة,خارج سوريا (يرجى تحديد البلد),دراسات عليا,لا,"نعم , احيانا",زيارة الطبيب,دائماً,الثقة بالمصدر,نعم جداً,"اليانسون, البابونج, النعناع, الورد الدمشقي",نعم,أوافق,نعم,نعم,نعم,لا,الشاي الأخضر,ربما,نعم,ربما,غالباً,لم أشعر بأي أعراض,نعم,ربما,"لا , لم أسمع بهذا من قبل",ربما في حالات الاستخدام الطويل,قلة الرقابة على المحتوى,نعم بالتأكيد,زياده نشرات التوعيه
2026-04-18 20:03:54.248,أنثى,أكثر من 50 سنة,اللاذقية,بكالوريوس,لا,"لا , ابدا",زيارة الطبيب,دائماً,الجودة,لا أعلم,"اليانسون, البابونج, النعناع",لا,محايد,لا,نعم,نعم,لا,,لا أعرف,نعم,نعم بالتأكيد,أبداً,لم أشعر بأي أعراض,لا,نعم,"لا , لم أسمع بهذا من قبل","نعم , بالتأكيد","انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر",نعم بالتأكيد,
2026-04-18 23:04:42.043,ذكر,18-25 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,نصيحة شخص آخر,إلى حد ما,"اليانسون, النعناع",لا,محايد,لا,لا أعرف,نعم بشدة,لا,,لا أعرف,نعم بشدة,ربما,دائماً,لم أشعر بأي أعراض,ربما,ربما,"لا , لم أسمع بهذا من قبل",لا أعرف,انتشار الموروث الشعبي الخاطئ,ربما,
2026-04-18 23:50:48.508,أنثى,36-50 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا","الأعشاب الطبية, الأدوية من الصيدلية, زيارة الطبيب",أحياناً,نصيحة شخص آخر,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج",نعم,أوافق,لا,لا,ربما,لا,الشاي الأخضر,لا أعرف,ربما,لا أعرف,دائماً,لم أشعر بأي أعراض,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,قلة الرقابة على المحتوى,نعم بالتأكيد,
2026-04-19 11:39:36.234,ذكر,18-25 سنة,اللاذقية,ثانوية,نعم,"نعم , احيانا","الأعشاب الطبية, زيارة الطبيب",أحياناً,نصيحة شخص آخر,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع, الورد الدمشقي, أوراق الزيتون, ",نعم,لا أوافق,لا,نعم,ربما,لا,الشاي الأخضر,ربما,ربما,لا (لأنها طبيعية),أحياناً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,
2026-04-19 13:16:17.707,أنثى,36-50 سنة,UAE,دراسات عليا,نعم,نادرا,"الأدوية من الصيدلية, زيارة الطبيب",دائماً,الثقة بالمصدر,إلى حد ما,"إكليل الجبل, اليانسون, البابونج",نعم,لا أوافق بشدة,لا,نعم,نعم,لا,,نعم بشدة,نعم بشدة,نعم بالتأكيد,أبداً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",كل ما سبق,ربما,
2026-04-19 14:31:03.913,ذكر,26-35 سنة,لبنان,دراسات عليا,لا,نادرا,الأدوية من الصيدلية,نادراً,نصيحة شخص آخر,إلى حد ما,"اليانسون, البابونج",لا,لا أوافق,لا,لا أعرف,نعم,لا,,نعم,نعم,لا أعرف,نادراً,لم أشعر بأي أعراض,لا,لا أعرف,"لا , لم أسمع بهذا من قبل",لا أعرف,"عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,
2026-04-19 14:54:16.969,أنثى,18-25 سنة,عراق,بكالوريوس,نعم,نادرا,"الأدوية من الصيدلية, زيارة الطبيب",دائماً,الثقة بالمصدر,إلى حد ما,"إكليل الجبل, النعناع",نعم,لا أوافق,لا,لا أعرف,ربما,لا,"السنامكي, الشاي الأخضر, ليست للتنحيف ولكن لعلاج الامساك",ربما,لا أعرف,نعم بالتأكيد,نادراً,"تقلصات أو آلام في البطن, إسهال, غثيان أو قيء, تسارع ضربات القلب",نعم,نعم,"نعم , أعرف ذلك جيداً",ربما في حالات الاستخدام الطويل,"قلة الرقابة على المحتوى, انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة, كل ما سبق",نعم بالتأكيد,
2026-04-19 16:56:02.542,أنثى,26-35 سنة,حلب,بكالوريوس,لا,"نعم , احيانا",الأعشاب الطبية,دائماً,الجودة,نعم جداً,البابونج,لا,أوافق بشدة,لا,لا أعرف,نعم بشدة,نعم (انتقل إلى السؤال 18),الشاي الأخضر,لا أعرف,لا أعرف,نعم بالتأكيد,أحياناً,لم أشعر بأي أعراض,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعرف,كل ما سبق,نعم بالتأكيد,لا شكراً 
2026-04-19 20:31:57.765,ذكر,26-35 سنة,اللاذقية,بكالوريوس,لا,نادرا,الأدوية من الصيدلية,أبداً,نصيحة شخص آخر,لا أعلم,"اليانسون, البابونج, النعناع",لا,أوافق,لا,لا أعرف,لا أعرف,لا,,لا أعرف,لا أعرف,لا أعرف,أحياناً,لم أشعر بأي أعراض,نعم,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,ربما,
2026-04-19 20:40:38.245,ذكر,36-50 سنة,اللاذقية,أقل من الثانوية,لا,"نعم , احيانا","الأدوية من الصيدلية, زيارة الطبيب",نادراً,الشهرة/التجربة,إلى حد ما,"الزعتر السوري, اليانسون, البابونج, النعناع",نعم,محايد,لا,نعم,نعم بشدة,لا,,لا أعرف,نعم,ربما,دائماً,تقلصات أو آلام في البطن,نعم,نعم,"نعم , أعرف ذلك جيداً",لا أعتقد ذلك,"قلة الرقابة على المحتوى, رغبة الناس في حلول سريعة ورخيصة",ربما,
2026-04-19 20:45:47.259,ذكر,26-35 سنة,اللاذقية,دراسات عليا,لا,"لا , ابدا",الأدوية من الصيدلية,نادراً,نصيحة شخص آخر,لم تكن فعالة,البابونج,لا,محايد,لا,لا أعرف,لا أعرف,لا,,لا أعرف,لا أعرف,لا (لأنها طبيعية),نادراً,لم أشعر بأي أعراض,لا أعرف,ربما,"لا , لم أسمع بهذا من قبل",لا أعرف,قلة الرقابة على المحتوى,ربما لا,لا والله
2026-04-19 20:53:16.375,أنثى,18-25 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا",الأدوية من الصيدلية,نادراً,الثقة بالمصدر,إلى حد ما,النعناع,لا,أوافق,لا,نعم,ربما,لا,الشاي الأخضر,ربما,ربما,نعم بالتأكيد,دائماً,إسهال,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل","نعم , بالتأكيد",قلة الرقابة على المحتوى,نعم بالتأكيد,لا
2026-04-19 21:04:29.761,أنثى,أكثر من 50 سنة,اللاذقية,أقل من الثانوية,لا,"نعم , احيانا",الأعشاب الطبية,أحياناً,الجودة,إلى حد ما,"اليانسون, البابونج",نعم,أوافق,لا,نعم,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,نعم,ربما,ربما,أحياناً,لم أشعر بأي أعراض,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,ربما,
2026-04-19 21:27:47.811,ذكر,26-35 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",الأعشاب الطبية,دائماً,الجودة,إلى حد ما,النعناع,نعم,محايد,لا,نعم,نعم,لا,,نعم,ربما,ربما,غالباً,غثيان أو قيء,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,ربما,
2026-04-19 22:57:41.225,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا","الأعشاب الطبية, الأدوية من الصيدلية",أحياناً,نصيحة شخص آخر,إلى حد ما,"اليانسون, البابونج, النعناع",نعم,لا أوافق,لا,نعم,نعم بشدة,نعم (انتقل إلى السؤال 18),خلطة من الاعشاب كانت بنصيحة طبيب,نعم,نعم,نعم بالتأكيد,دائماً,تسارع ضربات القلب,لا,ربما,"نعم , أعرف ذلك جيداً",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,
2026-04-19 23:04:31.848,ذكر,18-25 سنة,اللاذقية,دراسات عليا,نعم,"نعم , احيانا","الأعشاب الطبية, الأدوية من الصيدلية",دائماً,الشهرة/التجربة,إلى حد ما,"البابونج, الكركديه و الزهورات",لا,لا أوافق,لا,لا,نعم,لا,,ربما,لا أعرف,ربما,غالباً,لم أشعر بأي أعراض,لا,نعم,"لا , لم أسمع بهذا من قبل",لا أعتقد ذلك,"انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر",ربما,
2026-04-20 00:53:38.343,أنثى,أكثر من 50 سنة,اللاذقية,ثانوية,لا,"نعم , احيانا",زيارة الطبيب,أحياناً,نصيحة شخص آخر,إلى حد ما,"الزعتر السوري, إكليل الجبل, اليانسون, البابونج, النعناع",نعم,أوافق,لا,لا,نعم,لا,,لا أعرف,ربما,لا أعرف,نادراً,لم أشعر بأي أعراض,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,قلة الرقابة على المحتوى,ربما,
2026-04-20 01:02:41.831,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",زيارة الطبيب,دائماً,الثقة بالمصدر,لم تكن فعالة,"اليانسون, البابونج, النعناع",نعم,لا أوافق,لا,لا أعرف,نعم,لا,,ربما,ربما,لا أعرف,نادراً,تقلصات أو آلام في البطن,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل","نعم , بالتأكيد","انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر",ربما,وضع فرق واضح بين العلاج الطبيعي المثبت علميا و الخلطات الشعبية العشوائية و ايضاح هذا من خلال ندوات و تثقيف الاطباء تجاه هذا الموضوع و كيفية التعامل معه و مع نتائجه
2026-04-20 01:15:47.266,ذكر,أكثر من 50 سنة,اللاذقية,أقل من الثانوية,لا,"نعم , احيانا","الأدوية من الصيدلية, زيارة الطبيب",أحياناً,الثقة بالمصدر,إلى حد ما,النعناع,لا,أوافق,لا,لا أعرف,نعم بشدة,نعم (انتقل إلى السؤال 18),,نعم,ربما,نعم بالتأكيد,نادراً,لم أشعر بأي أعراض,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعتقد ذلك,رغبة الناس في حلول سريعة ورخيصة,ربما,
2026-04-20 01:16:20.742,أنثى,18-25 سنة,أبوظبي الإمارات ,ثانوية,لا,"لا , ابدا",الأدوية من الصيدلية,دائماً,الثقة بالمصدر,نعم جداً,"الزعتر السوري, النعناع, أوراق الزيتون",نعم,محايد,نعم,لا أعرف,نعم بشدة,لا,,ربما,لا,لا (لأنها طبيعية),غالباً,تقلصات أو آلام في البطن,لا,لا,"لا , لم أسمع بهذا من قبل",ربما في حالات الاستخدام الطويل,كل ما سبق,ربما,
2026-04-20 01:18:04.279,أنثى,26-35 سنة,اللاذقية,بكالوريوس,لا,نادرا,زيارة الطبيب,دائماً,الشهرة/التجربة,نعم جداً,"الزعتر السوري, اليانسون, البابونج, أوراق الزيتون",نعم,محايد,لا,لا,نعم,لا,الشاي الأخضر,نعم,نعم,ربما,أبداً,تقلصات أو آلام في البطن,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,قلة الرقابة على المحتوى,ربما لا,لا شكرا 
2026-04-20 01:20:04.390,أنثى,26-35 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا",الأعشاب الطبية,دائماً,الشهرة/التجربة,إلى حد ما,"البابونج, النعناع",نعم,أوافق,لا,نعم,نعم,لا,الشاي الأخضر,ربما,ربما,ربما,دائماً,لم أشعر بأي أعراض,ربما,لا,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,"قلة الرقابة على المحتوى, انتشار الموروث الشعبي الخاطئ, عدم وعي المستخدمين بالمخاطر, رغبة الناس في حلول سريعة ورخيصة, كل ما سبق",ربما,لا شكراً 
2026-04-20 11:14:20.864,أنثى,18-25 سنة,اللاذقية,دراسات عليا,نعم,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,الثقة بالمصدر,إلى حد ما,البابونج,نعم,لا أوافق,لا,نعم,نعم بشدة,لا,,نعم,نعم,نعم بالتأكيد,نادراً,لم أشعر بأي أعراض,لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,
2026-04-20 11:26:41.489,أنثى,18-25 سنة,اللاذقية,بكالوريوس,لا,"لا , ابدا",الأدوية من الصيدلية,أبداً,نصيحة شخص آخر,لا أعلم,"الزعتر السوري, إكليل الجبل, البابونج, النعناع",لا,لا أوافق,لا,لا,لا,لا,,نعم,نعم,ربما,أحياناً,إسهال,ربما,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,
